Country,Year,Below $1 a day (Number),Below $2.15 a day  (Number),Below $3.65 a day (Number),Below $6.85 a day (Number),Below $10 a day (Number),Below $20 a day (Number),Below $30 a day (Number),Below $40 a day (Number),Below $1 a day (%Share),Below $2.15 a day (%Share),Below $3.65 a day (%Share),Below $6.85 a day (%Share),Below $10 a day (%Share),Below $20 a day (%Share),Below $30 a day (%Share),Below $40 a day (%Share)
Albania,1996,1819,16944,281906,1516827,2395790,3126915,3164783,3166501,0.06,0.53,8.90,47.88,75.62,98.70,99.90,99.95
Albania,2002,1415,33337,347459,1589301,2340279,2945105,3018917,3043749,0.05,1.09,11.39,52.09,76.71,96.53,98.95,99.76
Albania,2005,0,17800,219516,1217497,2061456,2873129,2977077,2997843,0.00,0.59,7.29,40.43,68.45,95.41,98.86,99.55
Albania,2008,0,5892,115022,985342,1849996,2787653,2903376,2927993,0.00,0.20,3.90,33.43,62.77,94.58,98.51,99.34
Albania,2012,699,18003,139377,1063512,1887070,2770468,2873530,2892932,0.02,0.62,4.81,36.67,65.06,95.52,99.07,99.74
Albania,2014,0,29558,279549,1119349,1761723,2645987,2834179,2874814,0.00,1.02,9.68,38.74,60.98,91.59,98.10,99.51
Albania,2015,0,3475,106557,753428,1458177,2500865,2772099,2847716,0.00,0.12,3.70,26.15,50.62,86.81,96.23,98.85
Albania,2016,0,4006,134217,730927,1388484,2444326,2752278,2833095,0.00,0.14,4.67,25.41,48.28,84.99,95.69,98.50
Albania,2017,0,11280,104211,733910,1398525,2447542,2759480,2840950,0.00,0.39,3.63,25.54,48.67,85.18,96.03,98.87
Albania,2018,0,1379,78263,520561,1128553,2402021,2759656,2837748,0.00,0.05,2.73,18.16,39.37,83.80,96.28,99.00
Albania,2019,0,0,22774,312161,876631,2187858,2637916,2780704,0.00,0.00,0.80,10.94,30.71,76.65,92.42,97.43
Algeria,1988,0,1569347,6158153,15557583,20278624,23625143,24130292,24286585,0.00,6.42,25.19,63.65,82.96,96.65,98.72,99.36
Algeria,1995,67807,1659487,6973279,17571992,23336448,27828892,28549708,28757500,0.24,5.77,24.25,61.10,81.15,96.77,99.28,100.00
Algeria,2011,32750,166981,1473499,13408903,24917004,35125069,36283006,36593560,0.09,0.46,4.02,36.57,67.97,95.81,98.97,99.81
Angola,2000,1288252,3510083,6482583,11019698,13291759,15475132,15978536,16113701,7.86,21.41,39.54,67.21,81.07,94.39,97.46,98.28
Angola,2008,430027,3174611,8171941,14983762,18087319,20951844,21411996,21570802,1.98,14.63,37.67,69.06,83.37,96.57,98.69,99.42
Angola,2018,2713685,9588624,16299094,24023840,27328640,30062235,30458468,30636343,8.81,31.12,52.90,77.97,88.70,97.57,98.86,99.44
Argentina - urban,1980,29121,71452,229485,1277865,2999296,8960247,13938313,17263176,0.13,0.31,0.99,5.53,12.97,38.75,60.28,74.66
Argentina - urban,1986,289128,293557,479427,1251231,2688835,9549145,15379702,19132599,1.10,1.12,1.83,4.77,10.25,36.40,58.63,72.94
Argentina - urban,1987,210948,317511,560465,2040435,4173657,11653951,17054563,20572372,0.79,1.19,2.09,7.62,15.59,43.53,63.71,76.85
Argentina - urban,1991,155205,280792,858659,4137034,8083165,18455057,23024493,25293979,0.54,0.97,2.97,14.32,27.98,63.89,79.70,87.56
Argentina - urban,1992,312052,491272,1200228,4365150,8020844,17969905,22749289,25468528,1.06,1.67,4.09,14.87,27.33,61.22,77.50,86.77
Argentina - urban,1993,308111,589233,1455577,4492403,8134775,18003612,23028631,25908652,1.03,1.98,4.88,15.07,27.29,60.40,77.25,86.91
Argentina - urban,1994,391103,578379,1336555,4745572,8699613,18523546,23623194,26355716,1.29,1.91,4.42,15.68,28.75,61.21,78.07,87.10
Argentina - urban,1995,543075,1183846,2272472,6288325,10405206,20252606,24870088,26876565,1.77,3.86,7.40,20.48,33.89,65.96,80.99,87.53
Argentina - urban,1996,793834,1313596,2599534,6976961,11162709,20574758,25220196,27260930,2.55,4.22,8.35,22.40,35.84,66.06,80.97,87.53
Argentina - urban,1997,633799,1189211,2464957,6740840,10618107,20097527,24955181,27290767,2.01,3.77,7.81,21.35,33.62,63.64,79.02,86.42
Argentina - urban,1998,525812,1270520,2649927,7456950,11664276,21076169,25677079,27908102,1.64,3.97,8.28,23.30,36.44,65.84,80.22,87.19
Argentina - urban,1999,636554,1358503,2892370,7858170,12411074,21914718,26510017,28646763,1.96,4.19,8.92,24.22,38.26,67.56,81.72,88.31
Argentina - urban,2000,756205,1639510,3516551,8642987,13161064,22511440,26623948,29012778,2.30,4.99,10.70,26.30,40.04,68.49,81.00,88.27
Argentina - urban,2001,1288457,2742016,5127117,10344753,15181671,23806549,27751679,29847720,3.87,8.23,15.40,31.07,45.59,71.50,83.34,89.64
Argentina - urban,2002,1129614,4198292,8085185,14968823,20072182,27809394,30559807,31793920,3.35,12.45,23.97,44.38,59.51,82.45,90.60,94.26
Argentina - urban,2003,402919,1803369,4282243,10096448,15043928,24269190,28664901,30909713,1.18,5.28,12.54,29.56,44.04,71.05,83.91,90.49
Argentina - urban,2004,268029,1318876,3319207,8553919,13202454,23283351,28117183,30820805,0.77,3.81,9.60,24.73,38.17,67.31,81.29,89.11
Argentina - urban,2005,185343,921325,2755140,7276510,11701687,22054552,27536457,30523627,0.53,2.63,7.87,20.78,33.42,62.98,78.64,87.17
Argentina - urban,2006,182636,750699,2093712,5950921,10010466,20257279,26438005,30019028,0.52,2.12,5.91,16.79,28.25,57.16,74.60,84.71
Argentina - urban,2007,164085,618127,1752663,5523193,9974434,20011932,26494241,30054825,0.46,1.72,4.89,15.40,27.81,55.80,73.88,83.81
Argentina - urban,2008,141682,575716,1696851,5105722,8980418,19564648,26104384,30012189,0.39,1.59,4.68,14.07,24.75,53.92,71.94,82.71
Argentina - urban,2009,108954,559552,1468275,4688536,8282569,18637637,25763517,29901101,0.30,1.52,4.00,12.77,22.56,50.76,70.17,81.44
Argentina - urban,2010,71694,277671,1144421,4167251,7763538,18355536,25776737,29975404,0.19,0.75,3.09,11.25,20.95,49.53,69.56,80.89
Argentina - urban,2011,79364,265592,789697,3383895,6821540,17409108,24955050,29516444,0.21,0.71,2.10,9.01,18.17,46.37,66.47,78.62
Argentina - urban,2012,93676,243678,869021,3231510,6490126,17373271,24930671,29926928,0.25,0.64,2.29,8.50,17.07,45.69,65.56,78.70
Argentina - urban,2013,80246,239737,767528,3257958,6434421,17225255,25044917,30261332,0.21,0.62,1.99,8.46,16.71,44.73,65.04,78.58
Argentina - urban,2014,80511,238802,817103,3563442,7707191,19173019,26806776,31508691,0.21,0.61,2.10,9.14,19.77,49.17,68.75,80.81
Argentina - urban,2016,91669,266623,854076,3506095,7375359,18787224,26992795,31723708,0.23,0.67,2.14,8.78,18.47,47.04,67.58,79.43
Argentina - urban,2017,65697,171352,862277,3182123,6446099,17691824,26045610,31385138,0.16,0.42,2.13,7.87,15.95,43.78,64.45,77.67
Argentina - urban,2018,77156,313720,1066712,3952231,7862786,19926894,28236090,33329787,0.19,0.77,2.61,9.67,19.24,48.75,69.08,81.54
Argentina - urban,2019,97666,324105,1215391,4621699,9122527,21235857,29221626,34032749,0.24,0.78,2.94,11.18,22.07,51.37,70.69,82.32
Argentina - urban,2020,101195,449203,1444414,5886937,11296746,23938086,31753643,36001637,0.24,1.07,3.46,14.08,27.03,57.27,75.97,86.13
Armenia,1996,32024,440344,1160319,2211714,2669097,3044248,3115163,3139219,1.01,13.90,36.62,69.81,84.25,96.09,98.33,99.08
Armenia,1999,19970,367575,1382807,2542565,2875955,3040619,3071589,3082928,0.65,11.90,44.77,82.31,93.10,98.43,99.44,99.80
Armenia,2001,15883,426326,1440859,2556452,2835027,3014483,3039746,3046402,0.52,13.97,47.23,83.80,92.93,98.81,99.64,99.86
Armenia,2002,13615,302384,1325425,2515015,2806634,2987906,3018303,3028277,0.45,9.97,43.69,82.90,92.51,98.48,99.48,99.81
Armenia,2003,2197,227538,1196850,2492090,2824923,2973058,3002403,3007738,0.07,7.54,39.66,82.58,93.60,98.51,99.49,99.66
Armenia,2004,10631,159572,867963,2205170,2637994,2914929,2959243,2982189,0.35,5.32,28.93,73.49,87.91,97.14,98.62,99.38
Armenia,2005,3803,78394,577466,2011276,2551198,2883065,2934479,2956472,0.13,2.63,19.37,67.46,85.57,96.71,98.43,99.17
Armenia,2006,677,59124,457499,1857994,2542338,2902578,2940349,2952451,0.02,2.00,15.46,62.81,85.94,98.12,99.39,99.80
Armenia,2007,1801,45051,401638,1641477,2333750,2851071,2911844,2925668,0.06,1.54,13.70,55.97,79.58,97.22,99.29,99.76
Armenia,2008,768,25578,268180,1516313,2290716,2841324,2894228,2902112,0.03,0.88,9.22,52.15,78.78,97.72,99.54,99.81
Armenia,2009,78,36033,398435,1754446,2447019,2851986,2877333,2884518,0.00,1.25,13.80,60.75,84.73,98.75,99.63,99.88
Armenia,2010,1316,27377,403518,1787018,2427729,2830169,2860774,2867926,0.05,0.95,14.02,62.11,84.37,98.36,99.43,99.67
Armenia,2011,211,34089,377690,1704472,2374560,2829170,2858000,2867968,0.01,1.19,13.13,59.25,82.55,98.35,99.36,99.70
Armenia,2012,378,24003,323149,1593484,2380285,2822579,2858292,2871429,0.01,0.83,11.20,55.25,82.53,97.86,99.10,99.56
Armenia,2013,1300,50368,328240,1538228,2292972,2830578,2878753,2889512,0.04,1.74,11.33,53.09,79.13,97.69,99.35,99.72
Armenia,2014,860,41914,330784,1486819,2290609,2829918,2874201,2894083,0.03,1.44,11.36,51.05,78.65,97.17,98.69,99.37
Armenia,2015,2065,33537,275967,1365576,2201029,2815140,2872176,2897937,0.07,1.15,9.43,46.68,75.23,96.23,98.18,99.06
Armenia,2016,1003,32531,279586,1245575,1998567,2825871,2911359,2925380,0.03,1.11,9.52,42.42,68.07,96.24,99.16,99.63
Armenia,2017,130,23136,237919,1432737,2219098,2817447,2900703,2918146,0.00,0.79,8.08,48.65,75.36,95.68,98.50,99.10
Armenia,2018,508,39548,277977,1442197,2255618,2822165,2887381,2913769,0.02,1.34,9.42,48.86,76.42,95.61,97.82,98.71
Armenia,2019,0,30467,290687,1545486,2385818,2876534,2935808,2948768,0.00,1.03,9.83,52.25,80.66,97.25,99.26,99.70
Armenia,2020,0,11501,203418,1583968,2452081,2927554,2951568,2958896,0.00,0.39,6.86,53.45,82.75,98.80,99.61,99.85
Australia,1981,74031,148300,186026,260875,484935,2574564,6716158,9515295,0.50,0.99,1.25,1.75,3.25,17.25,44.99,63.75
Australia,1985,105306,157786,210685,320118,525712,2680059,6986231,9981570,0.67,1.00,1.34,2.03,3.34,17.01,44.33,63.34
Australia,1989,83774,125145,167324,335065,626015,2899547,7146019,10214612,0.50,0.74,1.00,1.99,3.72,17.24,42.50,60.75
Australia,1995,89769,135501,220768,316218,585217,3609257,8584108,12008639,0.50,0.75,1.22,1.75,3.24,19.97,47.50,66.45
Australia,2001,145095,145095,192590,286697,482465,2812780,7715229,11152594,0.75,0.75,0.99,1.48,2.49,14.49,39.74,57.45
Australia,2003,147207,198423,246957,347689,493774,2635386,7453107,11139402,0.74,1.00,1.24,1.75,2.48,13.25,37.46,55.99
Australia,2004,100491,143415,143415,251163,350556,1960980,6239135,10164152,0.50,0.71,0.71,1.25,1.74,9.74,31.00,50.50
Australia,2008,76759,76759,142253,142253,213881,1280532,4180377,8005896,0.36,0.36,0.67,0.67,1.01,6.03,19.67,37.68
Australia,2010,76928,76928,149298,222105,296686,1398828,4188604,8226529,0.35,0.35,0.68,1.01,1.35,6.35,19.01,37.34
Australia,2014,57264,117022,174757,234049,293028,1114331,3462187,7042487,0.24,0.50,0.74,1.00,1.25,4.75,14.75,30.00
Australia,2016,59207,120650,120650,239273,302247,1269235,3746637,7559598,0.24,0.50,0.50,0.99,1.25,5.25,15.49,31.25
Australia,2018,124187,124187,184431,245897,372854,1370623,3808874,7618208,0.50,0.50,0.74,0.98,1.49,5.49,15.25,30.49
Austria,1987,0,0,0,0,18156,226844,1287228,2972647,0.00,0.00,0.00,0.00,0.24,2.99,16.99,39.25
Austria,1994,19713,19713,37285,77369,137520,534417,1705606,3312692,0.25,0.25,0.47,0.97,1.73,6.73,21.49,41.74
Austria,1995,79008,79008,99075,178717,337638,1053036,2403925,3914020,0.99,0.99,1.25,2.25,4.25,13.25,30.24,49.24
Austria,1997,16659,16659,36826,73700,129055,573749,1849781,3501870,0.21,0.21,0.46,0.92,1.62,7.20,23.22,43.95
Austria,2000,0,19357,19357,38462,99765,398898,1461727,3000115,0.00,0.24,0.24,0.48,1.25,4.98,18.25,37.45
Austria,2003,23508,26980,32634,52947,79193,419781,1413529,2849733,0.29,0.33,0.40,0.65,0.98,5.17,17.40,35.09
Austria,2004,5847,6673,11655,34627,65602,304064,1239750,2662854,0.07,0.08,0.14,0.42,0.80,3.72,15.17,32.59
Austria,2005,8797,12645,16095,37085,76508,338395,1325269,2931551,0.11,0.15,0.20,0.45,0.93,4.11,16.11,35.63
Austria,2006,4734,7451,19052,39372,61726,356944,1288681,2811125,0.06,0.09,0.23,0.48,0.75,4.32,15.59,34.00
Austria,2007,21777,30883,49670,64315,97534,421580,1342979,2617587,0.26,0.37,0.60,0.78,1.18,5.08,16.19,31.55
Austria,2008,16975,39208,48432,82000,117757,405078,1228777,2482356,0.20,0.47,0.58,0.99,1.42,4.87,14.77,29.83
Austria,2009,41049,54752,61120,84057,126464,417312,1209801,2407606,0.49,0.66,0.73,1.01,1.52,5.00,14.50,28.86
Austria,2010,30728,41039,48107,68080,96035,338286,1109167,2298384,0.37,0.49,0.58,0.81,1.15,4.04,13.26,27.48
Austria,2011,27460,34859,48254,86651,132833,392972,1216552,2465990,0.33,0.42,0.58,1.03,1.58,4.68,14.50,29.39
Austria,2012,41255,52006,60406,90172,147866,448244,1266390,2481203,0.49,0.62,0.72,1.07,1.75,5.32,15.02,29.43
Austria,2013,22843,28662,31936,56573,92599,347282,1048764,2376562,0.27,0.34,0.38,0.67,1.09,4.10,12.37,28.03
Austria,2014,11412,19166,28706,62525,94127,366357,1167086,2430446,0.13,0.22,0.34,0.73,1.10,4.29,13.66,28.44
Austria,2015,48487,58528,63217,87529,156731,359940,1246596,2441770,0.56,0.68,0.73,1.01,1.81,4.16,14.42,28.25
Austria,2016,48577,58017,78001,115922,154577,408451,1086817,2250529,0.56,0.66,0.89,1.33,1.77,4.68,12.44,25.76
Austria,2017,20406,27984,35040,60077,94686,385927,1108424,2332543,0.23,0.32,0.40,0.68,1.08,4.39,12.60,26.51
Austria,2018,42521,50246,62192,101820,118199,419639,1113202,2393071,0.48,0.57,0.70,1.15,1.34,4.75,12.59,27.07
Austria,2019,48019,56888,63274,75454,106329,396900,1015733,2109287,0.54,0.64,0.71,0.85,1.20,4.47,11.44,23.75
Azerbaijan,1995,144309,954504,2975078,5974263,7017562,7609125,7664922,7679727,1.88,12.42,38.71,77.74,91.32,99.01,99.74,99.93
Azerbaijan,2001,14826,499460,2298258,5758681,6997217,7883272,8032703,8080948,0.18,6.16,28.33,71.00,86.27,97.19,99.03,99.63
Azerbaijan,2002,0,6497,209479,3959595,6589416,7961380,8109821,8144007,0.00,0.08,2.56,48.45,80.63,97.42,99.24,99.66
Azerbaijan,2003,0,4165,269648,3670664,6365347,7991291,8161452,8194325,0.00,0.05,3.27,44.58,77.30,97.05,99.12,99.52
Azerbaijan,2004,0,0,85745,3515508,6436027,8039206,8202612,8254880,0.00,0.00,1.03,42.32,77.48,96.78,98.75,99.38
Azerbaijan,2005,0,0,26423,2630543,5858883,7989823,8275023,8338145,0.00,0.00,0.31,31.35,69.82,95.21,98.61,99.36
Bangladesh,1983,1958838,32118282,71266480,84227712,85677885,86141629,86141629,86141629,2.27,37.29,82.73,97.78,99.46,100.00,100.00,100.00
Bangladesh,1988,1651523,40979622,80787805,95195504,97104996,98061614,98185368,98185368,1.68,41.74,82.28,96.95,98.90,99.87,100.00,100.00
Bangladesh,1991,2465136,44293409,87736707,102831824,104823439,105535169,105582223,105594679,2.33,41.94,83.08,97.38,99.27,99.94,99.98,100.00
Bangladesh,1995,1498704,38776268,85553614,107971049,112224773,114647628,115010063,115114343,1.30,33.67,74.28,93.75,97.44,99.55,99.86,99.95
Bangladesh,2000,1320703,42537302,91735827,118670617,124154651,127203396,127568436,127615930,1.03,33.32,71.86,92.96,97.26,99.64,99.93,99.97
Bangladesh,2005,488276,33322071,90552811,126352560,134018087,138309916,138906174,138955395,0.35,23.97,65.13,90.88,96.39,99.48,99.91,99.94
Bangladesh,2010,308275,26893935,87533806,131868620,141947882,146760912,147323357,147435894,0.21,18.22,59.31,89.36,96.19,99.45,99.83,99.91
Bangladesh,2016,288508,21276841,81560162,137286831,150359282,156914284,157582802,157789942,0.18,13.47,51.63,86.90,95.18,99.33,99.75,99.88
Belarus,1993,1649,41637,1239650,7237348,9494292,10222271,10238948,10238948,0.02,0.41,12.11,70.68,92.73,99.84,100.00,100.00
Belarus,1995,30256,127297,682795,3763224,6802802,9845081,10116299,10164819,0.30,1.25,6.70,36.92,66.73,96.58,99.24,99.72
Belarus,1998,193271,2191998,5710723,9073837,9773615,10045890,10063663,10065473,1.92,21.76,56.70,90.09,97.04,99.74,99.92,99.94
Belarus,1999,221376,1924361,5120200,8822005,9712874,10000596,10026738,10026738,2.21,19.19,51.07,87.98,96.87,99.74,100.00,100.00
Belarus,2000,123723,1361461,4318507,8422534,9547795,9938080,9972252,9979610,1.24,13.64,43.27,84.40,95.67,99.58,99.93,100.00
Belarus,2001,46244,657689,2790636,7313441,9027100,9845585,9901040,9912698,0.47,6.62,28.11,73.66,90.92,99.16,99.72,99.84
Belarus,2002,26013,433526,2200613,6677546,8691814,9757897,9836901,9848930,0.26,4.39,22.31,67.69,88.10,98.91,99.71,99.83
Belarus,2003,27275,343901,1838235,6348555,8444205,9710005,9782794,9791651,0.28,3.51,18.76,64.80,86.19,99.11,99.86,99.95
Belarus,2004,5843,126573,1032897,5284288,7950293,9622787,9714181,9728236,0.06,1.30,10.62,54.31,81.71,98.90,99.84,99.98
Belarus,2005,0,86095,578250,3475660,6555951,9340916,9609715,9654916,0.00,0.89,5.98,35.97,67.84,96.66,99.44,99.91
Belarus,2006,4325,38283,340251,2676392,5421049,9013026,9506883,9578932,0.05,0.40,3.54,27.86,56.44,93.84,98.98,99.73
Belarus,2007,0,20899,256467,1978765,4487922,8562253,9316656,9482022,0.00,0.22,2.68,20.70,46.94,89.55,97.44,99.17
Belarus,2008,0,15866,159559,1566307,4084757,8555557,9302583,9462653,0.00,0.17,1.67,16.44,42.87,89.79,97.63,99.31
Belarus,2009,869,13133,169958,1481486,3875112,8461762,9280280,9421633,0.01,0.14,1.79,15.59,40.77,89.03,97.64,99.13
Belarus,2010,0,3219,80975,1123621,3138298,7929893,9024600,9339573,0.00,0.03,0.85,11.85,33.09,83.61,95.16,98.48
Belarus,2011,0,622,55732,942672,2782654,7812644,9061780,9335376,0.00,0.01,0.59,9.96,29.41,82.57,95.77,98.67
Belarus,2012,0,1139,13951,553880,1980871,7250777,8889856,9269185,0.00,0.01,0.15,5.86,20.97,76.75,94.10,98.12
Belarus,2013,0,0,5872,321496,1352763,6510747,8636054,9157673,0.00,0.00,0.06,3.40,14.33,68.95,91.45,96.98
Belarus,2014,0,0,5047,302677,1295178,6202210,8487015,9078954,0.00,0.00,0.05,3.20,13.71,65.64,89.82,96.09
Belarus,2015,0,0,13094,388251,1626313,6979132,8840592,9236314,0.00,0.00,0.14,4.10,17.19,73.77,93.44,97.62
Belarus,2016,0,0,5665,434719,1781045,7321051,8913444,9290110,0.00,0.00,0.06,4.59,18.81,77.31,94.13,98.11
Belarus,2017,0,0,10553,309315,1765914,7135582,8883332,9284307,0.00,0.00,0.11,3.27,18.67,75.44,93.91,98.15
Belarus,2018,0,0,6518,183446,1181184,6567626,8666418,9184148,0.00,0.00,0.07,1.94,12.51,69.58,91.82,97.30
Belarus,2019,0,0,1718,229922,940212,6142088,8448552,9065220,0.00,0.00,0.02,2.44,9.98,65.20,89.69,96.24
Belarus,2020,0,0,6179,120626,848369,5986261,8462588,9066519,0.00,0.00,0.07,1.29,9.04,63.82,90.22,96.66
Belgium,1985,23678,23678,48971,73726,122697,1625203,4608688,7147125,0.24,0.24,0.50,0.75,1.24,16.49,46.75,72.50
Belgium,1988,47311,47311,72806,72806,123419,1358564,4206966,6855897,0.48,0.48,0.74,0.74,1.25,13.72,42.49,69.24
Belgium,1992,69882,98772,98772,119910,149342,1003036,3489837,6123760,0.70,0.98,0.98,1.19,1.49,9.99,34.74,60.96
Belgium,1995,41805,41805,73918,117088,144668,808038,2530611,4836868,0.41,0.41,0.73,1.16,1.43,7.97,24.96,47.72
Belgium,1997,24423,50141,50141,99952,146779,762520,2494388,4937001,0.24,0.49,0.49,0.98,1.44,7.49,24.50,48.49
Belgium,2000,31318,31318,67785,100251,118698,510017,1938064,4150538,0.31,0.31,0.66,0.98,1.16,4.98,18.91,40.49
Belgium,2003,15029,30549,46796,91061,146857,768511,2240139,4379799,0.14,0.29,0.45,0.88,1.42,7.41,21.59,42.21
Belgium,2004,1725,5421,13338,43874,53457,668422,2064479,4104636,0.02,0.05,0.13,0.42,0.51,6.41,19.81,39.39
Belgium,2005,14891,20231,34362,52318,88259,602499,1880233,4029122,0.14,0.19,0.33,0.50,0.84,5.75,17.94,38.45
Belgium,2006,13517,17820,22193,44755,76749,615436,1969962,4015733,0.13,0.17,0.21,0.42,0.73,5.83,18.68,38.07
Belgium,2007,7239,16093,20890,41824,81515,594914,1906373,3914999,0.07,0.15,0.20,0.39,0.77,5.60,17.94,36.84
Belgium,2008,8915,12682,15073,30376,56344,564959,1823733,3754237,0.08,0.12,0.14,0.28,0.53,5.28,17.03,35.05
Belgium,2009,6027,11615,17151,37201,112963,660163,1770063,3596808,0.06,0.11,0.16,0.34,1.05,6.11,16.39,33.31
Belgium,2010,10526,14940,21677,51105,89540,647729,1801972,3661781,0.10,0.14,0.20,0.47,0.82,5.94,16.54,33.61
Belgium,2011,7982,18574,31994,65780,112753,682862,2018382,3920182,0.07,0.17,0.29,0.60,1.02,6.19,18.29,35.51
Belgium,2012,15576,17390,25691,50282,79132,606849,1793703,3553730,0.14,0.16,0.23,0.45,0.71,5.46,16.15,32.00
Belgium,2013,14656,16126,24751,55924,85348,619927,1844057,3696895,0.13,0.14,0.22,0.50,0.76,5.56,16.52,33.13
Belgium,2014,7763,8574,14175,30515,61709,586300,1918062,3677152,0.07,0.08,0.13,0.27,0.55,5.23,17.11,32.81
Belgium,2015,7977,7977,22003,24516,42231,559649,1856410,3524310,0.07,0.07,0.20,0.22,0.37,4.96,16.47,31.26
Belgium,2016,6464,6778,10217,34498,70262,563281,1851007,3553200,0.06,0.06,0.09,0.30,0.62,4.97,16.34,31.36
Belgium,2017,16820,16820,25722,40514,67404,611501,1744167,3482093,0.15,0.15,0.23,0.36,0.59,5.38,15.33,30.61
Belgium,2018,7365,9269,10256,22843,42605,479594,1663859,3204291,0.06,0.08,0.09,0.20,0.37,4.20,14.56,28.04
Belgium,2019,6012,9025,14841,25096,40510,380887,1418158,3007080,0.05,0.08,0.13,0.22,0.35,3.32,12.34,26.17
Belize,1993,10214,26773,62763,122038,152164,180733,190138,194177,5.17,13.55,31.76,61.75,77.00,91.45,96.21,98.26
Belize,1994,9314,29836,66708,131889,159406,185631,194343,196816,4.62,14.79,33.08,65.40,79.04,92.04,96.36,97.59
Belize,1995,9079,31596,59190,100146,130522,172775,188874,195193,4.39,15.27,28.60,48.39,63.07,83.48,91.26,94.31
Belize,1996,11855,39038,88618,150893,172572,200170,206815,209644,5.55,18.27,41.48,70.62,80.77,93.69,96.80,98.12
Belize,1997,17451,47621,95684,155542,179708,207365,216137,218630,7.88,21.49,43.18,70.20,81.10,93.59,97.55,98.67
Belize,1998,13658,45580,96885,157153,183370,213774,222687,225222,5.93,19.80,42.08,68.25,79.64,92.85,96.72,97.82
Belize,1999,16588,43048,87580,150259,187252,221081,229338,232960,6.94,18.01,36.65,62.88,78.35,92.51,95.97,97.48
Benin,2003,758228,3992623,6074828,7152116,7372625,7487648,7508969,7517384,10.08,53.09,80.78,95.10,98.03,99.56,99.85,99.96
Benin,2011,1147220,5133602,7343331,8701565,9137252,9410505,9447546,9458808,12.13,54.26,77.62,91.97,96.58,99.47,99.86,99.98
Benin,2015,2043996,5362992,8257644,9711197,10107665,10485820,10556682,10565607,19.33,50.71,78.08,91.82,95.57,99.15,99.82,99.90
Benin,2018,124305,2285063,6113714,9580140,10713872,11344811,11445344,11467592,1.08,19.90,53.23,83.41,93.29,98.78,99.65,99.85
Bhutan,2003,830,83893,261122,460057,545659,609636,620598,624090,0.13,13.36,41.59,73.28,86.91,97.10,98.85,99.40
Bhutan,2007,1078,38918,177090,414214,537053,638687,657061,662654,0.16,5.85,26.64,62.30,80.78,96.06,98.83,99.67
Bhutan,2012,137,12140,83684,314801,472703,645899,679757,690954,0.02,1.73,11.93,44.87,67.38,92.06,96.89,98.49
Bhutan,2017,205,7051,70233,294782,449549,662692,722664,739281,0.03,0.95,9.42,39.54,60.30,88.88,96.93,99.16
Bolivia,1997,638478,1233392,2069377,3656685,4916231,6605932,7210346,7481942,8.04,15.54,26.07,46.07,61.94,83.22,90.84,94.26
Bolivia,1999,1082714,1806242,2640194,4131740,5206522,6932060,7549985,7832025,13.11,21.88,31.97,50.04,63.06,83.95,91.44,94.85
Bolivia,2000,1361064,2041214,2981351,4699291,5823593,7374139,7810443,8021466,16.17,24.25,35.42,55.82,69.18,87.60,92.78,95.29
Bolivia,2001,851935,1632910,2556378,4442902,5760992,7447372,7972567,8208259,9.93,19.03,29.79,51.78,67.14,86.80,92.92,95.66
Bolivia,2002,968150,1721150,2765576,4704446,5974262,7668842,8125361,8343375,11.07,19.69,31.63,53.81,68.33,87.72,92.94,95.43
Bolivia,2004,320957,926563,1913541,4154697,5701051,7705439,8293300,8564151,3.54,10.22,21.10,45.81,62.86,84.96,91.45,94.43
Bolivia,2005,709122,1440849,2375440,4358822,5630377,7539914,8290520,8597929,7.68,15.61,25.73,47.21,60.99,81.67,89.80,93.13
Bolivia,2006,560145,1173934,2089095,3953290,5345669,7502700,8376255,8732582,5.96,12.49,22.24,42.08,56.90,79.85,89.15,92.94
Bolivia,2007,412368,904876,1775187,3934374,5330886,7649424,8474408,8947261,4.31,9.47,18.57,41.16,55.77,80.03,88.66,93.61
Bolivia,2008,340707,811214,1469818,3297451,4826603,7553569,8609572,9088299,3.50,8.34,15.12,33.92,49.65,77.70,88.56,93.49
Bolivia,2009,310502,868048,1388853,2856666,4382819,7549145,8696986,9209400,3.14,8.78,14.05,28.90,44.34,76.37,87.98,93.17
Bolivia,2011,193382,541175,1057919,2396789,3813663,7176253,8666293,9334810,1.89,5.30,10.36,23.47,37.34,70.27,84.86,91.40
Bolivia,2012,287764,671222,1141352,2456606,3833417,7130476,8713178,9424017,2.77,6.47,11.00,23.67,36.94,68.71,83.96,90.81
Bolivia,2013,217937,548375,981241,2293934,3583494,6973289,8578836,9391360,2.07,5.20,9.31,21.76,33.99,66.15,81.37,89.08
Bolivia,2014,154419,457799,962350,2161450,3637698,7163773,8817575,9577282,1.44,4.28,8.99,20.19,33.98,66.91,82.36,89.45
Bolivia,2015,211883,503265,932749,2227441,3776202,7314269,9041649,9815158,1.95,4.63,8.58,20.49,34.74,67.29,83.18,90.30
Bolivia,2016,254180,620026,1112371,2424506,3873472,7420516,9185494,10038362,2.30,5.62,10.08,21.98,35.11,67.26,83.26,90.99
Bolivia,2017,170395,552184,1026977,2352539,3816373,7467414,9297758,10130851,1.52,4.93,9.18,21.02,34.10,66.72,83.07,90.51
Bolivia,2018,128118,372564,874542,2168392,3715797,7640551,9482408,10400659,1.13,3.28,7.70,19.10,32.73,67.30,83.52,91.61
